,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat
log2_umis_per_cell[236],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[237],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[238],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[239],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[240],13.464162818668548,8.878731206769413e-16,1.7764123531537026e-15,13.464162818668548,13.46416281866855,13.46416281866855,13.46416281866855,13.46416281866855,4.003001495232073,1.0002131242253798
log2_umis_per_cell[241],13.649256177517316,0.0,0.0,13.649256177517316,13.649256177517316,13.649256177517316,13.649256177517316,13.649256177517316,4.00300225168863,0.99955212987969
log2_umis_per_cell[242],13.649256177517316,0.0,0.0,13.649256177517316,13.649256177517316,13.649256177517316,13.649256177517316,13.649256177517316,4.00300225168863,0.99955212987969
log2_umis_per_cell[243],13.649256177517316,0.0,0.0,13.649256177517316,13.649256177517316,13.649256177517316,13.649256177517316,13.649256177517316,4.00300225168863,0.99955212987969
log2_umis_per_cell[244],13.649256177517316,0.0,0.0,13.649256177517316,13.649256177517316,13.649256177517316,13.649256177517316,13.649256177517316,4.00300225168863,0.99955212987969
log2_umis_per_cell[245],13.649256177517316,0.0,0.0,13.649256177517316,13.649256177517316,13.649256177517316,13.649256177517316,13.649256177517316,4.00300225168863,0.99955212987969
log2_umis_per_cell[246],13.649256177517316,0.0,0.0,13.649256177517316,13.649256177517316,13.649256177517316,13.649256177517316,13.649256177517316,4.00300225168863,0.99955212987969
log2_umis_per_cell[247],13.649256177517316,0.0,0.0,13.649256177517316,13.649256177517316,13.649256177517316,13.649256177517316,13.649256177517316,4.00300225168863,0.99955212987969
log2_umis_per_cell[248],13.649256177517316,0.0,0.0,13.649256177517316,13.649256177517316,13.649256177517316,13.649256177517316,13.649256177517316,4.00300225168863,0.99955212987969
